"Monthly mean humidity at some stations by Year, Cities, provincies and Month"

"Year";"Cities, provincies";"Jan.";"Feb.";"March";"April";"May";"June";"July";"Aug.";"Sep.";"Oct.";"Nov.";"Dec"
"2009";"Lai Chau";74;74;71;76;81;86;86;83;84;84;81;79
"2009";"Son La";77;71;70;76;78;82;85;83;82;80;74;79
"2009";"Tuyen Quang";77;82;82;81;81;80;85;82;82;82;74;75
"2009";"Ha Noi";72;84;82;82;81;74;79;78;76;75;66;73
"2009";"Bai Chay";73;87;86;86;83;81;83;82;81;80;71;78
"2009";"Nam Dinh";78;88;89;89;86;79;83;83;85;82;73;81
"2009";"Vinh";83;85;87;85;83;64;72;81;83;84;81;87
"2009";"Hue";91;90;89;89;87;79;80;81;88;89;91;92
"2009";"Da Nang";82;86;83;81;82;72;76;77;84;82;83;84
"2009";"Qui Nhon";79;82;82;82;83;66;67;71;78;81;83;79
"2009";"Playku";76;76;72;81;85;89;91;90;92;87;78;79
"2009";"Da Lat";81;80;80;84;88;87;90;91;92;89;84;84
"2009";"Nha Trang";78;78;79;83;85;78;76;79;81;82;81;81
"2009";"Vung Tau";74;78;75;78;84;81;83;81;83;84;79;77
"2009";"Ca Mau";80;82;78;81;84;81;86;84;87;85;81;79
"2008";"Lai Chau";80;80;80;81;82;88;90;89;85;85;84;82
"2008";"Son La";80;83;75;78;79;88;89;86;83;86;83;83
"2008";"Tuyen Quang";81;78;82;84;80;82;82;84;84;85;83;81
"2008";"Ha Noi";80;72;82;84;79;81;79;83;80;80;76;75
"2008";"Bai Chay";81;74;85;84;80;87;84;87;83;78;72;74
"2008";"Nam Dinh";85;79;87;87;82;85;81;85;88;86;79;79
"2008";"Vinh";89;87;87;86;79;72;70;76;84;89;82;82
"2008";"Hue";92;94;90;87;85;79;76;80;86;94;93;95
"2008";"Da Nang";85;80;85;82;81;77;75;78;81;88;85;87
"2008";"Qui Nhon";81;78;80;79;77;76;71;73;78;85;85;81
"2008";"Playku";77;76;75;76;88;87;89;90;91;89;83;81
"2008";"Da Lat";85;81;82;83;90;88;89;91;91;88;89;85
"2008";"Nha Trang";81;79;81;81;80;78;76;78;81;81;85;82
"2008";"Vung Tau";76;72;76;75;80;79;79;80;80;80;80;76
"2008";"Ca Mau";80;76;77;79;85;86;86;86;87;89;85;82
"2007";"Lai Chau";76;75;69;74;76;82;87;82;87;85;89;85
"2007";"Son La";75;67;72;76;78;84;87;87;84;82;80;83
"2007";"Tuyen Quang";77;80;87;83;80;78;82;85;84;83;79;83
"2007";"Ha Noi";69;81;88;79;75;77;78;81;81;77;67;77
"2007";"Bai Chay";71;85;90;81;80;82;82;83;80;75;67;81
"2007";"Nam Dinh";76;87;92;84;83;78;78;85;84;83;73;85
"2007";"Vinh";87;89;92;85;79;71;70;78;81;87;80;89
"2007";"Hue";93;87;90;87;85;77;76;82;88;94;92;92
"2007";"Da Nang";87;83;85;80;80;74;76;78;81;87;85;85
"2007";"Qui Nhon";80;79;83;81;78;77;72;71;77;83;82;80
"2007";"Playku";77;70;75;74;84;87;91;93;90;89;85;80
"2007";"Da Lat";83;76;83;85;88;90;90;92;89;90;86;80
"2007";"Nha Trang";78;76;80;80;81;78;78;80;81;84;83;79
"2007";"Vung Tau";73;76;76;74;81;78;80;81;81;81;77;77
"2007";"Ca Mau";80;79;79;77;84;85;87;86;86;87;82;79
"2006";"Lai Chau";71;68;67;65;79;83;83;83;83;87;85;79
"2006";"Son La";78;79;78;75;79;84;87;87;82;82;76;77
"2006";"Tuyen Quang";78;87;86;80;80;82;84;89;82;85;83;82
"2006";"Ha Noi";74;86;84;80;78;75;78;83;72;76;76;75
"2006";"Bai Chay";81;87;89;86;81;85;84;87;75;82;79;67
"2006";"Nam Dinh";80;89;89;85;82;81;80;87;78;83;81;78
"2006";"Vinh";88;93;90;83;74;71;72;86;81;89;85;85
"2006";"Hue";92;91;90;85;80;73;71;84;86;88;88;90
"2006";"Da Nang";86;85;84;81;77;73;71;82;82;84;82;82
"2006";"Qui Nhon";84;82;83;80;76;75;64;67;77;79;79;79
"2006";"Playku";80;75;77;78;82;86;95;95;89;84;80;77
"2006";"Da Lat";86;82;81;86;87;91;93;94;90;88;83;83
"2006";"Nha Trang";77;77;80;80;76;75;76;75;79;81;80;80
"2006";"Vung Tau";77;73;77;74;76;79;81;81;81;80;76;74
"2006";"Ca Mau";81;76;79;79;82;86;88;88;87;85;82;79
"2005";"Lai Chau";81;73;71;75;72;82;72;84;78;77;83;80
"2005";"Son La";76;71;75;76;71;85;85;91;83;83;84;82
"2005";"Tuyen Quang";86;86;86;85;81;83;83;89;85;84;86;81
"2005";"Ha Noi";79;85;83;83;78;77;79;83;78;76;79;69
"2005";"Bai Chay";80;89;87;87;86;87;86;87;83;77;82;72
"2005";"Nam Dinh";83;91;87;88;82;77;81;86;85;80;83;76
"2005";"Vinh";86;93;89;85;72;66;76;79;87;86;86;83
"2005";"Hue";90;91;92;87;78;77;83;80;88;91;91;95
"2005";"Da Nang";84;85;84;83;77;71;80;78;82;86;85;88
"2005";"Qui Nhon";79;83;82;81;80;68;69;67;78;85;84;87
"2005";"Playku";77;73;74;75;81;88;92;93;91;86;84;80
"2005";"Da Lat";80;76;81;81;87;90;92;92;92;91;87;91
"2005";"Nha Trang";77;80;80;80;76;73;76;74;78;83;80;84
"2005";"Vung Tau";76;79;77;77;78;79;81;81;82;81;80;80
"2005";"Ca Mau";78;79;76;75;80;82;87;84;83;85;82;84
"2004";"Lai Chau";83;76;80;86;82;82;87;88;83;82;85;83
"2004";"Son La";77;75;72;80;83;83;85;86;85;77;82;78
"2004";"Tuyen Quang";80;83;81;84;82;81;84;85;82;78;81;81
"2004";"Ha Noi";79;83;81;85;82;75;79;83;81;67;75;73
"2004";"Bai Chay";81;87;85;88;84;83;87;88;83;73;78;75
"2004";"Nam Dinh";83;87;85;86;72;80;83;86;86;78;82;80
"2004";"Vinh";90;90;90;89;83;74;73;81;84;83;86;83
"2004";"Hue";93;92;91;89;83;80;81;82;88;90;92;90
"2004";"Da Nang";86;83;85;84;80;76;80;76;83;83;86;85
"2004";"Qui Nhon";81;80;81;80;77;68;73;64;77;77;81;77
"2004";"Playku";81;76;76;78;83;91;91;94;90;84;80;79
"2004";"Da Lat";83;78;85;88;89;90;89;92;86;84;87;82
"2004";"Nha Trang";78;75;79;80;79;76;77;74;75;76;79;76
"2004";"Vung Tau";75;77;79;77;78;80;81;83;82;80;76;77
"2004";"Ca Mau";78;79;79;76;81;84;86;87;87;83;79;81
"2003";"Lai Chau";78;73;63;72;79;79;79;81;74;78;78;73
"2003";"Son La";82;76;74;73;79;82;82;85;84;77;77;72
"2003";"Tuyen Quang";81;81;79;79;81;82;76;89;87;80;76;77
"2003";"Ha Noi";76;82;77;81;78;75;80;82;81;72;71;70
"2003";"Bai Chay";81;88;84;85;85;83;82;89;85;78;77;75
"2003";"Nam Dinh";84;89;82;85;85;78;81;87;86;78;77;75
"2003";"Vinh";91;92;90;86;80;70;75;80;84;86;85;85
"2003";"Hue";90;92;91;84;81;78;77;77;87;90;91;92
"2003";"Da Nang";84;88;84;84;81;76;79;79;87;85;83;87
"2003";"Qui Nhon";78;80;81;80;75;72;73;68;74;82;79;81
"2003";"Playku";79;78;76;75;86;90;90;93;93;88;85;81
"2003";"Da Lat";80;79;84;82;92;90;91;92;94;91;88;87
"2003";"Nha Trang";76;79;78;80;81;75;77;76;78;83;79;77
"2003";"Vung Tau";76;78;77;75;81;79;82;83;83;83;79;76
"2003";"Ca Mau";76;77;80;75;83;82;87;84;86;93;83;78
"2002";"Lai Chau";80;77;77;74;72;82;86;86;80;82;79;80
"2002";"Son La";80;79;73;71;85;87;89;86;82;83;84;84
"2002";"Tuyen Quang";81;84;83;80;83;84;84;84;81;83;85;83
"2002";"Ha Noi";78;85;82;82;81;80;79;81;76;78;72;81
"2002";"Bai Chay";82;90;86;84;85;86;86;85;77;79;82;84
"2002";"Nam Dinh";84;90;87;87;85;83;82;86;84;85;83;88
"2002";"Vinh";89;91;88;86;84;75;75;84;87;87;90;92
"2002";"Hue";92;91;90;85;84;81;75;81;91;91;94;95
"2002";"Da Nang";84;84;85;84;78;78;73;82;86;86;85;87
"2002";"Qui Nhon";78;79;79;79;76;72;62;73;80;81;87;85
"2002";"Playku";80;75;75;74;81;92;94;94;94;88;86;85
"2002";"Da Lat";82;73;78;81;84;90;89;92;91;90;88;87
"2002";"Nha Trang";76;77;78;77;76;75;72;77;82;81;87;83
"2002";"Vung Tau";77;76;78;77;76;82;81;82;82;84;82;79
"2002";"Ca Mau";74;75;74;73;76;84;83;86;86;83;84;81
