"Monthly average income per capita at current prices by income source and by province by Cities, provincies, Year and Income source"

"Cities, provincies";"2010 Total";"2010 Salary & wage";"2010 Agriculture, forestry & fishery";"2010 Non-agriculture, forestry & fishery";"2010 Others";"2012 Total";"2012 Salary & wage";"2012 Agriculture, forestry & fishery";"2012 Non-agriculture, forestry & fishery";"2012 Others";"2014 Total";"2014 Salary & wage";"2014 Agriculture, forestry & fishery";"2014 Non-agriculture, forestry & fishery";"2014 Others"
"Yen Bai";844;373;273;119;79;1114;520;326;187;81;1386;590;421;262;113
"Thai Nguyen";1149;504;282;253;110;1747;869;397;350;132;2238;1087;473;526;152
"Lang Son";929;367;342;169;52;1212;475;468;202;68;1437;635;494;214;94
"Bac Giang";1103;406;344;196;157;1568;668;473;235;192;2174;995;550;378;251
"Phu Tho";1126;519;228;244;135;1579;754;311;294;219;1954;940;389;327;298
"Dien Bien";611;196;306;61;48;819;364;323;52;80;1200;450;420;235;95
"Lai Chau";567;205;255;59;48;758;237;337;120;64;987;373;390;137;87
"Son La";802;224;444;86;48;1020;257;541;108;113;1178;400;565;149;64
"Hoa Binh";829;379;286;85;79;1219;570;404;136;110;1598;707;459;279;153
"Northern Central area and Central coastal area";1018;442;231;229;116;1505;679;320;343;163;1982;923;379;440;240
"Thanh Hoa";840;364;245;151;81;1207;545;294;248;120;1635;831;368;251;185
"Nghe An";920;391;246;136;147;1367;564;351;240;212;1583;657;367;307;252
"Ha Tinh";840;336;214;147;142;1299;554;364;238;143;1810;831;372;320;287
"Quang Binh";950;447;201;168;135;1410;735;268;227;180;1837;939;313;386;199
"Quang Tri";951;381;257;232;80;1300;521;390;231;158;1673;732;370;380;191
"Thua Thien-Hue";1058;439;174;342;104;1747;834;221;496;196;2175;993;263;672;247
"Da Nang";1897;1106;62;507;223;2865;1507;75;904;379;3612;1954;41;1186;431
"Quang  Nam";935;411;213;205;107;1376;649;288;306;133;1784;885;337;379;183
"Quang  Ngai";909;350;200;262;97;1300;571;239;356;134;1619;734;295;389;201
"Binh Dinh";1150;429;272;329;119;1719;717;414;447;141;2346;1005;531;509;301
"Phu Yen";1013;398;302;228;86;1440;650;402;309;79;1979;833;640;362;144
"Khanh  Hoa";1258;650;217;269;121;1896;961;278;468;189;2670;1452;258;616;344
"Ninh  Thuan";947;361;228;278;81;1637;722;403;366;146;2331;897;536;677;221
"Binh Thuan";1160;430;335;287;108;1747;667;504;431;145;2395;891;736;564;204
"Central Highlands";1088;334;470;217;67;1643;497;759;294;94;2008;678;863;350;117
"Kon Tum";947;384;307;186;70;1294;604;363;258;69;1587;710;445;294;138
"Gia Lai";1027;360;386;229;52;1563;483;659;341;80;1760;661;699;318;82
"Dak Lak";1068;312;496;193;67;1639;483;817;241;98;1988;600;937;332;119
"Dak Nong";1039;207;652;141;38;1611;372;994;179;66;1824;466;1064;207;87
"Lam Dong";1257;372;508;282;95;1848;537;824;367;120;2499;878;982;485;154
"South East";2304;..;..;..;..;3173;1709;361;725;377;4125;2247;344;1022;512
"Binh Phuoc";1526;514;641;270;101;2218;802;1003;313;100;2693;998;1076;469;150
"Tay Ninh";1435;494;516;312;113;2100;886;616;431;167;2796;1155;584;754;303
"Binh Duong";2698;1100;710;753;135;3568;1514;1109;774;171;3769;1773;825;937;234
"Dong Nai";1763;862;301;398;203;2577;1247;432;635;263;3504;1742;488;882;392
"Ba Ria - Vung Tau";1695;875;217;442;161;2904;1580;408;623;293;3752;1647;535;1245;325
"Ho Chi Minh city";2737;1613;30;745;348;3653;2205;21;870;557;4840;2925;37;1161;717
"Mekong River Delta";1247;..;..;..;..;1797;598;539;402;257;2327;783;674;528;342
"Long An";1289;520;369;230;170;1956;813;569;335;239;2430;1035;633;447;315
"Tien Giang";1313;440;369;331;172;1941;773;493;404;271;2596;1049;656;560;331
"Ben Tre";1200;348;353;318;180;1580;505;522;363;190;2162;705;649;442;366
"Tra Vinh";1089;313;373;258;144;1398;433;377;266;322;2098;739;703;361;295
"Vinh Long";1239;377;357;319;186;1744;601;446;400;297;2205;802;593;418;392
"Dong Thap";1138;382;356;243;158;1666;536;539;377;214;2134;741;661;439;293
"An Giang";1319;406;378;417;118;1871;546;498;548;279;2472;738;572;771;391
"Kien  Giang";1316;441;408;294;173;1963;641;656;396;270;2642;795;828;571;448
"Can Tho";1540;642;282;436;180;2325;933;411;620;361;2673;1074;359;895;345
"Hau Giang";1098;332;343;259;164;1527;445;483;285;314;2088;482;633;541;432
"Soc Trang";1029;289;427;229;84;1324;421;445;317;141;1913;582;648;436;247
"Bac Lieu";1273;304;580;227;162;2035;406;992;393;244;2214;515;1093;339;267
"Ca Mau";1250;315;531;245;159;1779;502;673;366;238;2154;564;914;388;288
