"University and college education by Items, University and college and Years"

"Items";"University and college";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Index (Previous year = 100) - %";"Schools - Public (School)";100.0;88.1;114.6;111.8;106.5;113.0;113.5;106.5;104.5;107.5;120.9;113.2;110.9;105.6;101.2;102.5;100.9;100.9;100.9;101.2;102.9
"Index (Previous year = 100) - %";"Schools - Non-public (School)";..;..;..;..;..;..;76.7;100.0;117.4;107.4;117.2;138.2;136.2;110.9;108.5;103.9;102.5;98.8;104.9;104.7;98.9
"Index (Previous year = 100) - %";"Teachers (Thous. pers.)";..;..;..;..;..;106.7;111.1;107.6;103.4;119.1;101.9;109.9;105.1;108.1;114.7;107.2;112.8;104.2;104.5;99.8;102.3
"Index (Previous year = 100) - %";"Teachers by Public";105.1;103.1;102.6;108.3;103.8;102.9;112.6;106.3;104.6;114.5;105.0;108.7;112.2;106.8;110.2;105.0;111.2;104.9;101.8;98.5;102.6
"Index (Previous year = 100) - %";"Teachers by Non-public";..;..;..;..;..;138.4;101.3;116.7;96.1;150.9;85.8;117.8;62.8;122.1;157.0;121.4;121.6;100.9;119.0;105.4;100.8
"Index (Previous year = 100) - %";"Teachers by Male";..;..;..;..;..;..;..;..;..;..;99.3;..;103.8;105.1;113.6;106.5;109.8;104.4;104.0;90.6;102.3
"Index (Previous year = 100) - %";"Teachers by Female";..;..;..;..;..;..;..;..;..;..;106.2;..;106.8;111.9;115.9;107.9;116.1;104.1;104.9;109.4;102.3
"Index (Previous year = 100) - %";"Students (Thous. students)";..;..;..;..;..;109.3;108.3;104.8;110.8;116.7;105.1;120.1;96.2;107.2;113.8;110.5;102.1;98.7;94.4;114.7;89.6
"Index (Previous year = 100) - %";"Students - Public (Thous.students)";146.5;171.0;130.1;102.9;107.7;108.3;109.7;104.1;109.4;118.9;103.8;118.8;97.1;106.1;110.3;110.4;102.5;99.0;96.6;114.4;90.1
"Index (Previous year = 100) - %";"Students - Non-public (Thous.students)";..;..;..;..;..;117.8;97.3;110.6;122.6;100.5;116.4;130.6;90.1;115.5;137.4;111.4;100.3;96.5;83.4;116.3;86.5
"Index (Previous year = 100) - %";"Students by Male";..;..;..;..;..;..;..;..;..;..;103.7;..;100.4;106.8;113.5;109.3;102.1;98.7;93.1;109.9;92.6
"Index (Previous year = 100) - %";"Students by Female";..;..;..;..;..;..;..;..;..;..;106.7;..;92.3;107.7;114.0;111.8;102.1;98.7;96.1;119.3;86.9
"Index (Previous year = 100) - %";"Graduates (Thous. students)";..;..;..;..;..;133.6;104.0;98.7;99.3;118.1;107.8;110.2;100.6;95.2;110.7;129.1;125.1;106.8;95.5;108.7;80.0
"Index (Previous year = 100) - %";"Graduates - Public (Thous. students)";158.5;134.2;94.4;139.5;109.9;131.9;105.1;96.9;100.0;118.5;107.8;111.0;99.4;97.0;107.3;124.3;120.2;106.8;97.9;107.8;81.7
"Index (Previous year = 100) - %";"Graduates - Non-Public (Thous. students)";..;..;..;..;..;157.0;90.4;124.7;91.8;113.5;107.9;100.2;117.5;74.5;162.1;176.7;158.9;106.8;82.5;114.7;70.3
